Nome;Descrição;Categoria;Colaborador;Localização;Status;Empresa;Valor (€);Marca;Modelo;Número de Série;Data de Compra;Data de Garantia;Data de Criação;Última Atualização
H-FREE 300 HYDRO HF322YHM, sin;Hoover H-FREE 300 HYDRO HF322YHM, Aspiradora escoba sin cable, aspira y friega, motor directo por impulsos, localizador de polvo, carga rápida 2,5h, 40min, batería extraíble, Azul;Equipamentos;;;Ativo;ProStoral;€ 99.17;Hoover;;PS0001202510;10/10/2025;;16/10/2025;16/10/2025
Logitech MX 4 for Business,;Logitech MX Master 4 for Business, ratón inalámbrico con clics discretos, 8000 PPP, Desplazamiento MagSpeed, Receptor Logi Bolt, Bluetooth, Actions Ring, tecnología háptica, Carga USB-C - Grafito;Equipamentos;;;Ativo;ProStoral;€ 124.98;Logitech;;PS0002202510;09/10/2025;;16/10/2025;16/10/2025
iPhone 15 128 - Negro;Apple iPhone 15 128 GB - Negro (Reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 537.70;Apple;;PS0003202510;25/09/2025;;16/10/2025;16/10/2025
Neatfi (Nuevo modelo) Lámpara;Neatfi (Nuevo modelo) Lámpara de mesa LED XL, 2.500 lúmenes, 6500K, 30W, 162 piezas de LEDs SMD, lámpara de 56 cm de ancho, regulable, luz de tarea de grado profesional (No-CCT con Base, Blanco);Equipamentos;;;Ativo;ProStoral;€ 163.29;Neatfi;;PS0004202510;18/09/2025;;16/10/2025;16/10/2025
MSI MAG Z790 TOMAHAWK;MSI MAG Z790 TOMAHAWK WIFI Placa base ATX - Soporta procesadores Intel 12ª y 13ª Gen Core, LGA 1700 - 90A SPS VRM, DDR5 Memory Boost 7200+MHz/OC, PCIe 5.0 & 4.0 x16, 4 x M.2 Gen4, Wi-Fi 6E;Equipamentos;;;Ativo;ProStoral;€ 203.97;MSI;;PS0005202510;18/09/2025;;16/10/2025;16/10/2025
Logitech MX Master 3S;Logitech MX Master 3S para Mac, ratón inalámbrico Bluetooth con desplazamiento ultrarrápido, ergonómico, 8K DPI, seguimiento de cristal, clics silenciosos, USB-C, Apple, iPad, gris espacial;Equipamentos;;;Ativo;ProStoral;€ 65.28;Logitech;;PS0006202510;15/09/2025;;16/10/2025;16/10/2025
BenQ PD2705U Monitor de diseño;BenQ PD2705U Monitor de diseño (tecnología AQCOLOR, 27 pulgadas, 4K UHD, IPS, color panorámico P3, carga USB-C, DP / HDMI, KVM, altura ajustable) Compatible con MacBook;Equipamentos;;;Ativo;ProStoral;€ 324.79;BenQ;;PS0007202510;15/09/2025;;16/10/2025;16/10/2025
TUF Gaming B760-PLUS WiFi;TUF Gaming B760-PLUS WiFi - Placa Base ATX Intel B760 (LGA 1700) con DDR5, Ranura PCIe 5.0, 3X PCIe 4.0 M.2, 12+1 DrMOS, 2.5Gb Ethernet, DisplayPort, HDMI, USB 3.2 Gen 2 Tipo C, Aura Sync;Equipamentos;;;Ativo;ProStoral;€ 141.28;ASUS;;PS0008202510;03/09/2025;;16/10/2025;16/10/2025
MSI MAG A850GL PCIE5;MSI MAG A850GL PCIE5 - Fuente de Alimentación, 850W, 80 Plus Gold, Totalmente Modular, ATX 3.0, Soporte GPU PCIe 5.0, Ventilador FDB de 120mm, Full-Bridge LLC, Cables Planos Negros - 7 Años de Garantí;Equipamentos;;;Ativo;ProStoral;€ 81.74;MSI;;PS0009202510;03/09/2025;;16/10/2025;16/10/2025
Asus Dual NVIDIA GeForce;Asus Dual NVIDIA GeForce RTX 3050 V2 OC Edition Tarjeta gráfica Gaming (PCIe 4.0, 8 GB de Memoria GDDR6, HDMI 2.1, DisplayPort 1.4a, DVI-D, diseño de 2 Ranuras, Axial-Tech, tecnología 0dB);Equipamentos;;;Ativo;ProStoral;€ 189.09;ASUS;;PS0010202510;03/09/2025;;16/10/2025;16/10/2025
